Company Name,Last Price,% Change,52 wk High,52 wk Low,Market Cap (Rs. cr),Category,Color
Grindwell Norto,1208.55,1.54,1304.95,470.7,13381.07,abrasives,3
Carborundum,601.95,2.2,626.0,205.5,11412.6,abrasives,3
Wendt,3419.0,-1.91,4257.75,1913.05,683.8,abrasives,2
Hindustan Aeron,1026.75,1.21,1423.55,524.2,34333.24,aerospace-defence,3
MTAR Tech,944.15,1.61,1154.0,575.0,2904.17,aerospace-defence,3
TAAL Enterprise,665.85,4.82,671.75,114.35,207.5,aerospace-defence,4
Taneja Aerospac,33.05,0.3,46.05,23.15,82.4,aerospace-defence,3
Bombay Burmah,1225.4,0.67,1566.8,801.0,8549.85,agriculture,3
Kaveri Seed,753.95,-1.73,815.85,394.05,4548.51,agriculture,2
Nath Bio-Genes,422.2,0.62,466.25,246.65,802.35,agriculture,3
Goodricke Group,264.45,4.96,322.7,126.0,571.21,agriculture,4
JK Agri Genetic,810.0,2.04,969.05,380.05,375.59,agriculture,3
Harrisons Malay,201.8,11.68,201.8,55.85,372.43,agriculture,5
ShreeGanesh Bio,123.0,3.06,148.55,91.4,245.15,agriculture,4
Dhunseri Tea,315.0,-2.45,344.8,136.35,220.66,agriculture,2
Mangalam Seeds,81.3,4.84,81.3,50.95,89.27,agriculture,4
Joonktollee Tea,116.0,2.84,131.0,76.0,48.05,agriculture,4
Diana Tea,21.35,-0.7,24.4,8.05,32.01,agriculture,2
Transchem,24.9,2.05,29.4,7.31,30.48,agriculture,3
Agri-Tech,44.1,0.11,48.0,26.0,26.2,agriculture,3
Indo US Bio-Tec,36.5,-1.35,59.0,30.85,22.15,agriculture,2
Nagarjuna Ag,4.7,0.0,5.2,2.56,4.4,agriculture,2
Kanel Ind,1.96,-2.0,2.25,0.24,3.61,agriculture,2
Beeyu Overseas,0.85,4.94,0.93,0.25,1.2,agriculture,4
Voltas,990.7,-0.62,1131.2,446.6,32780.75,air-conditioners,2
Amber Enterpris,2770.6,-5.44,3667.5,1011.1,9335.19,air-conditioners,0
Blue Star,812.6,-0.18,1025.0,460.0,7826.47,air-conditioners,2
Johnson Control,2310.95,1.94,3375.0,1660.0,6283.68,air-conditioners,3
Interglobe Avi,1715.25,1.83,1822.0,873.1,66021.69,airlines,3
SpiceJet,82.25,1.29,107.95,42.25,4942.71,airlines,3
Jet Airways,93.7,4.52,165.0,20.0,1064.41,airlines,4
Global Vectra,47.3,4.99,65.3,36.2,66.22,airlines,4
NALCO,72.55,-0.96,82.3,27.25,13324.76,aluminium-aluminium-products,2
Manaksia Alumin,20.86,4.98,20.86,4.15,136.7,aluminium-aluminium-products,4
Maan Aluminium,195.0,1.83,218.0,37.15,131.83,aluminium-aluminium-products,3
Arfin India,72.0,-1.5,82.85,21.65,114.43,aluminium-aluminium-products,2
PG Foils,94.4,-1.97,117.65,53.1,76.56,aluminium-aluminium-products,2
Hardwyn,63.45,9.4,84.5,10.01,64.72,aluminium-aluminium-products,5
Century Extr,6.16,-1.91,7.89,2.09,49.28,aluminium-aluminium-products,2
Sacheta Metals,16.2,2.86,24.6,11.44,30.99,aluminium-aluminium-products,4
Hind Aluminium,40.9,0.62,46.0,27.4,25.77,aluminium-aluminium-products,3
Nirav Comm,320.0,3.23,374.95,125.0,12.54,aluminium-aluminium-products,4
Golkonda Alum,20.4,-0.97,20.6,2.71,7.59,aluminium-aluminium-products,2
Synthiko Foils,24.25,0.0,31.2,18.8,4.22,aluminium-aluminium-products,2
Sudal Ind,4.55,-4.81,9.92,1.93,3.35,aluminium-aluminium-products,1
Universal Prime,3.3,1.85,3.37,1.15,2.63,aluminium-aluminium-products,3
Galada Telecom,1.12,0.0,2.27,0.52,0.84,aluminium-aluminium-products,2
Wonderla,210.35,3.77,234.5,108.0,1189.16,amusement-parksrecreationclub,4
Nicco Parks,43.0,0.94,52.9,25.25,201.24,amusement-parksrecreationclub,3
Avanti Feeds,554.5,2.82,587.35,250.0,7554.82,aquaculture,4
Apex Frozen,264.2,4.76,328.8,170.15,825.63,aquaculture,4
Waterbase,124.85,7.03,145.75,88.3,517.21,aquaculture,5
Coastal Corp,227.3,19.38,290.0,160.0,242.73,aquaculture,5
Zeal Aqua ,67.2,3.46,82.4,48.25,84.72,aquaculture,4
BKV Industries,7.56,1.89,7.56,2.47,11.68,aquaculture,3
Shantanu Sheo,1.03,4.04,1.17,0.29,3.59,aquaculture,4
Varroc Engineer,409.6,-0.7,499.95,127.2,6258.13,auto-ancillaries,2
Pricol,86.0,-4.23,90.9,36.0,1048.18,auto-ancillaries,1
Rajratan Global,1006.2,4.4,1100.0,171.6,1021.72,auto-ancillaries,4
GNA Axles,434.95,-1.18,451.7,164.35,933.64,auto-ancillaries,2
Rane Brake,880.15,-1.68,956.5,405.3,683.01,auto-ancillaries,2
Enkei Wheels,329.0,4.18,384.0,178.0,591.37,auto-ancillaries,4
Frontier Spring,300.0,0.22,379.9,195.05,118.16,auto-ancillaries,3
Kinetic Eng,38.6,1.05,49.2,14.7,68.36,auto-ancillaries,3
Sal Automotive,168.0,0.21,197.95,95.0,40.28,auto-ancillaries,3
Kranti Industri,23.7,1.94,24.0,11.5,20.86,auto-ancillaries,3
PAE,8.67,-4.93,15.33,1.88,9.03,auto-ancillaries,1
Subros,320.5,-0.9,363.4,151.0,2090.81,auto-ancillaries-air-conditioning-parts,2
Motherson Sumi,239.9,-0.27,248.45,79.8,75758.84,auto-ancillaries-auto-truck-motorcycle-parts,2
Bosch,15060.0,-0.83,16900.0,9257.65,44417.42,auto-ancillaries-auto-truck-motorcycle-parts,2
Sundaram-Clayto,3235.0,2.1,3899.7,1368.05,6545.08,auto-ancillaries-auto-truck-motorcycle-parts,3
Mah Scooters,3563.4,-0.47,4043.4,1815.0,4072.46,auto-ancillaries-auto-truck-motorcycle-parts,2
Sandhar Technol,236.65,0.92,280.15,134.0,1424.41,auto-ancillaries-auto-truck-motorcycle-parts,3
Ind Motor Parts,649.9,-3.43,729.0,461.0,811.08,auto-ancillaries-auto-truck-motorcycle-parts,1
Automotive Axle,1327.0,-0.9,1428.2,335.7,2005.36,auto-ancillaries-axle-shafts,2
Talbros Eng,159.85,2.73,183.45,65.05,81.15,auto-ancillaries-axle-shafts,4
Schaeffler Ind,5162.5,0.02,5550.0,3044.1,16138.35,auto-ancillaries-bearings,3
SKF India,2435.0,-1.61,2514.45,1401.45,12038.14,auto-ancillaries-bearings,2
Timken,1278.5,-0.18,1448.0,755.75,9616.72,auto-ancillaries-bearings,2
NRB Bearings,118.15,0.51,125.35,58.65,1145.14,auto-ancillaries-bearings,3
Menon Bearings,65.2,0.23,67.9,27.0,365.38,auto-ancillaries-bearings,3
Bimetal Bearing,326.0,1.88,367.95,187.45,124.7,auto-ancillaries-bearings,3
SNL Bearings,207.75,7.87,269.9,103.0,75.03,auto-ancillaries-bearings,5
Galaxy Bearings,214.7,-4.98,234.0,116.15,68.27,auto-ancillaries-bearings,1
NRB Industrial,20.25,4.92,27.0,4.35,49.07,auto-ancillaries-bearings,4
Benara Bearings,10.5,0.1,19.2,7.52,18.59,auto-ancillaries-bearings,3
Austin Eng,46.95,0.43,60.0,22.3,16.33,auto-ancillaries-bearings,3
Hind Composites,330.0,-1.27,387.45,116.1,487.38,auto-ancillaries-brakes,2
Sundaram Brake,356.15,-2.01,414.0,164.05,140.13,auto-ancillaries-brakes,2
Auto Corp Goa,370.0,0.74,605.0,227.3,225.28,auto-ancillaries-bus-body,3
Mahindra CIE,185.3,-0.54,234.5,84.05,7023.46,auto-ancillaries-castingsforgings,2
RamkrishnaForge,627.05,-0.85,675.0,140.65,2005.52,auto-ancillaries-castingsforgings,2
MM Forgings,489.3,0.57,535.0,152.3,1181.21,auto-ancillaries-castingsforgings,3
PTC Industries,1782.2,5.0,1783.95,292.0,933.71,auto-ancillaries-castingsforgings,4
Steelcast,158.35,5.67,158.35,63.0,320.5,auto-ancillaries-castingsforgings,5
Rama Steel Tube,75.2,-0.2,87.1,23.75,126.29,auto-ancillaries-castingsforgings,2
Invest and Prec,235.5,2.12,248.0,120.0,117.75,auto-ancillaries-castingsforgings,3
LGB Forge,4.75,0.64,5.4,1.81,113.15,auto-ancillaries-castingsforgings,3
Uni Abex,431.0,-1.67,455.0,313.2,85.12,auto-ancillaries-castingsforgings,2
Magna Electro,157.3,-1.07,199.85,98.6,66.57,auto-ancillaries-castingsforgings,2
Rajkumar Forge,57.25,0.09,62.9,17.1,62.63,auto-ancillaries-castingsforgings,3
Bhagwati Auto,149.95,0.87,189.15,78.45,43.2,auto-ancillaries-castingsforgings,3
Porwal Auto,22.1,1.61,23.85,10.71,33.37,auto-ancillaries-castingsforgings,3
Metalyst Forgin,6.3,-4.83,8.3,3.56,27.44,auto-ancillaries-castingsforgings,1
Hilton Metal,11.5,-0.78,16.06,8.13,14.31,auto-ancillaries-castingsforgings,2
Simplex Casting,19.16,2.24,25.0,13.5,11.75,auto-ancillaries-castingsforgings,3
Sibar Auto,6.46,-4.86,12.65,6.35,10.68,auto-ancillaries-castingsforgings,1
Smiths & Found,0.8,-1.23,0.86,0.54,8.16,auto-ancillaries-castingsforgings,2
Carnation Ind,5.19,4.85,7.65,3.61,1.79,auto-ancillaries-castingsforgings,4
Setco Auto,22.15,4.98,22.15,8.25,296.29,auto-ancillaries-clutches,4
Cummins,809.05,-3.7,933.45,330.4,22426.87,auto-ancillaries-diesel-engines,1
Swaraj Engines,1527.7,-0.73,1708.95,1019.0,1854.72,auto-ancillaries-diesel-engines,2
India Nippon,400.3,0.34,447.3,227.8,905.54,auto-ancillaries-engine-parts,3
Rane Engine,285.0,-0.31,355.0,163.65,191.49,auto-ancillaries-engine-parts,2
JTEKT India ,114.3,-0.7,115.1,47.5,2794.41,auto-ancillaries-gears,2
Shanthi Gears,152.35,-1.68,160.45,77.2,1168.77,auto-ancillaries-gears,2
LG Balakrishnan,318.25,-2.56,361.55,188.1,999.06,auto-ancillaries-gears,1
Rane Madras,353.5,1.6,496.0,182.95,514.88,auto-ancillaries-gears,3
ZF Steering Gea,492.75,-3.21,540.0,236.0,447.09,auto-ancillaries-gears,1
The Hi-Tech Gea,195.7,-1.16,209.8,70.8,367.29,auto-ancillaries-gears,2
RACL Geartech,293.0,2.04,297.95,63.7,315.9,auto-ancillaries-gears,3
Shivam Auto,28.1,4.85,28.1,10.35,281.0,auto-ancillaries-gears,4
JMT Auto,2.62,-1.13,7.23,2.19,132.0,auto-ancillaries-gears,2
Bharat Gears,103.65,-2.03,118.45,36.0,96.46,auto-ancillaries-gears,2
Him Teknoforge ,87.05,1.58,105.8,31.0,68.47,auto-ancillaries-gears,3
Gajra Bevel Gea,1.78,4.71,3.57,0.35,1.67,auto-ancillaries-gears,4
Minda Ind,567.0,-0.2,612.35,264.67,15418.36,auto-ancillaries-head-lamps-lights,2
Lumax Inds,1636.5,-1.4,1750.0,867.7,1529.76,auto-ancillaries-head-lamps-lights,2
FIEM Ind,609.85,-0.19,687.4,254.0,802.55,auto-ancillaries-head-lamps-lights,2
