Company Name,Last Price,% Change,52 wk High,52 wk Low,Market Cap (Rs. cr),Category,Color
Grindwell Norto,1197.35,0.77,1305.0,476.45,13257.06,abrasives,3
Carborundum,601.65,1.94,627.0,204.05,11406.91,abrasives,3
Wendt,3414.1,-2.32,4275.7,1910.0,682.82,abrasives,2
Hindustan Aeron,1026.85,1.19,1423.0,522.65,34336.58,aerospace-defence,3
MTAR Tech,944.7,1.66,1154.9,575.0,2905.86,aerospace-defence,3
Bombay Burmah,1223.75,0.5,1565.0,810.95,8538.34,agriculture,3
Kaveri Seed,744.35,-2.7,816.65,394.2,4490.6,agriculture,1
Nath Bio-Genes,423.0,0.07,465.95,221.2,803.87,agriculture,3
Harrisons Malay,202.5,11.97,202.5,55.75,373.72,agriculture,5
Dhunseri Tea,317.65,-1.82,339.9,136.05,222.51,agriculture,2
Bombay Super,173.75,-4.98,195.95,75.0,182.33,agriculture,1
Shreeoswal Seed,39.0,4.98,50.45,24.75,59.46,agriculture,4
Agri-Tech,43.6,-0.34,47.7,25.35,25.9,agriculture,2
Voltas,988.2,-0.84,1132.0,446.5,32698.03,air-conditioners,2
Amber Enterpris,2766.25,-5.59,3662.0,1191.6,9320.53,air-conditioners,0
Blue Star,811.7,-0.33,976.6,460.0,7817.8,air-conditioners,2
Johnson Control,2313.55,2.04,2940.0,1980.05,6290.75,air-conditioners,3
ICE Make Refrig,79.2,5.18,120.2,33.05,124.12,air-conditioners,5
Interglobe Avi,1719.1,2.14,1823.85,875.25,66169.88,airlines,3
SpiceJet,82.25,1.23,108.0,42.0,4942.71,airlines,3
Jet Airways,93.05,4.32,169.9,20.0,1057.02,airlines,4
Global Vectra,46.85,4.34,65.5,36.85,65.59,airlines,4
NALCO,72.6,-0.82,82.1,27.25,13333.95,aluminium-aluminium-products,2
MMP Industries,95.1,-0.11,109.0,43.95,241.58,aluminium-aluminium-products,2
Manaksia Alumin,20.9,4.76,20.9,4.05,136.97,aluminium-aluminium-products,4
Maan Aluminium,192.8,0.84,218.0,36.25,130.34,aluminium-aluminium-products,3
Century Extr,6.1,-2.4,7.6,2.1,48.8,aluminium-aluminium-products,2
Wonderla,208.9,3.24,235.0,108.0,1180.96,amusement-parksrecreationclub,4
Avanti Feeds,554.2,2.82,587.0,399.0,7550.73,aquaculture,4
Apex Frozen,263.55,4.65,327.85,170.05,823.59,aquaculture,4
Waterbase,124.9,6.93,145.9,88.65,517.42,aquaculture,5
Ajooni Biotech,63.55,4.95,63.55,5.99,63.59,aquaculture,4
Varroc Engineer,410.4,-0.48,477.65,127.0,6270.35,auto-ancillaries,2
Pricol,85.95,-4.29,91.0,36.0,1047.57,auto-ancillaries,1
GNA Axles,436.05,-1.42,451.0,170.1,936.0,auto-ancillaries,2
Rane Brake,882.95,-1.13,954.8,405.7,685.18,auto-ancillaries,2
Pavna Ind,167.0,-0.6,172.0,165.0,101.71,auto-ancillaries,2
PAE,8.45,-4.52,12.7,1.65,8.8,auto-ancillaries,1
Subros,320.9,-0.79,364.9,150.7,2093.42,auto-ancillaries-air-conditioning-parts,2
Motherson Sumi,240.5,0.0,248.65,79.7,75948.32,auto-ancillaries-auto-truck-motorcycle-parts,2
Bosch,15030.3,-1.07,16830.05,9250.05,44329.83,auto-ancillaries-auto-truck-motorcycle-parts,2
Sundaram-Clayto,3215.35,1.45,3906.1,1322.0,6505.32,auto-ancillaries-auto-truck-motorcycle-parts,3
Mah Scooters,3547.2,-1.09,4399.95,1813.0,4053.94,auto-ancillaries-auto-truck-motorcycle-parts,2
Sandhar Technol,237.05,1.39,279.95,134.9,1426.82,auto-ancillaries-auto-truck-motorcycle-parts,3
Ind Motor Parts,658.65,-1.92,731.0,478.1,822.0,auto-ancillaries-auto-truck-motorcycle-parts,2
Automotive Axle,1317.45,-1.65,1439.9,403.55,1990.93,auto-ancillaries-axle-shafts,2
Schaeffler Ind,5163.45,0.17,5550.05,3025.25,16141.32,auto-ancillaries-bearings,3
SKF India,2449.6,-0.82,2519.0,1396.5,12110.32,auto-ancillaries-bearings,2
Timken,1274.7,-0.46,1450.0,753.1,9588.13,auto-ancillaries-bearings,2
NRB Bearings,118.1,0.3,125.5,58.5,1144.66,auto-ancillaries-bearings,3
Menon Bearings,65.8,1.08,66.0,29.0,368.74,auto-ancillaries-bearings,3
NRB Industrial,20.3,-0.25,26.75,3.85,49.19,auto-ancillaries-bearings,2
Hind Composites,329.05,-0.96,387.8,116.5,485.97,auto-ancillaries-brakes,2
Sundaram Brake,356.8,-2.49,399.0,163.05,140.39,auto-ancillaries-brakes,2
Mahindra CIE,185.55,-0.38,234.9,84.15,7032.93,auto-ancillaries-castingsforgings,2
RamkrishnaForge,626.2,-1.32,670.0,140.5,2002.8,auto-ancillaries-castingsforgings,2
MM Forgings,486.65,0.36,538.95,150.05,1174.81,auto-ancillaries-castingsforgings,3
Rama Steel Tube,74.7,-2.23,87.0,24.75,125.45,auto-ancillaries-castingsforgings,2
LGB Forge,4.7,0.0,5.35,1.8,111.96,auto-ancillaries-castingsforgings,2
Tirupati Forge,27.0,-3.74,38.35,20.25,30.24,auto-ancillaries-castingsforgings,1
Metalyst Forgin,6.3,-1.56,8.3,3.7,27.44,auto-ancillaries-castingsforgings,2
Hilton Metal,11.4,1.33,16.25,7.95,14.19,auto-ancillaries-castingsforgings,3
Setco Auto,22.2,4.96,22.2,8.2,296.96,auto-ancillaries-clutches,4
Cummins,808.55,-3.73,934.25,330.0,22413.01,auto-ancillaries-diesel-engines,1
Swaraj Engines,1529.85,-0.47,1699.95,1028.95,1857.33,auto-ancillaries-diesel-engines,2
India Nippon,399.55,-0.19,448.8,225.25,903.84,auto-ancillaries-engine-parts,2
Rane Engine,285.4,-0.95,342.9,153.1,191.76,auto-ancillaries-engine-parts,2
JTEKT India ,114.5,-0.35,114.9,47.3,2799.3,auto-ancillaries-gears,2
Shanthi Gears,151.85,-2.78,161.0,77.45,1164.93,auto-ancillaries-gears,1
LG Balakrishnan,318.8,-1.92,361.5,186.35,1000.79,auto-ancillaries-gears,2
Rane Madras,352.15,1.43,494.65,182.75,512.92,auto-ancillaries-gears,3
The Hi-Tech Gea,194.6,-2.36,209.95,72.0,365.23,auto-ancillaries-gears,2
Shivam Auto,28.1,4.85,28.1,10.4,281.0,auto-ancillaries-gears,4
JMT Auto,2.65,0.0,6.9,2.2,133.52,auto-ancillaries-gears,2
Bharat Gears,103.7,-2.17,119.0,35.25,96.5,auto-ancillaries-gears,2
Minda Ind,564.65,-0.76,612.0,264.17,15354.45,auto-ancillaries-head-lamps-lights,2
Lumax Inds,1632.55,-1.63,1783.4,865.0,1526.06,auto-ancillaries-head-lamps-lights,2
FIEM Ind,608.9,-0.15,688.0,254.05,801.3,auto-ancillaries-head-lamps-lights,2
Endurance Techn,1426.35,-0.66,1519.95,635.0,20063.45,auto-ancillaries-others,2
WABCO India,6685.7,-1.09,7670.0,4750.05,12681.16,auto-ancillaries-others,2
Suprajit Eng,277.05,-0.34,310.0,107.0,3833.61,auto-ancillaries-others,2
Minda Corp,112.65,-0.04,118.0,55.55,2693.23,auto-ancillaries-others,2
Banco Products,170.2,0.03,174.8,60.65,1217.25,auto-ancillaries-others,3
Lumax Auto Tech,146.55,-1.25,174.0,63.5,998.85,auto-ancillaries-others,2
Alicon Castallo,573.05,-2.39,608.0,200.0,800.12,auto-ancillaries-others,2
Munjal Auto Ind,67.05,3.95,70.4,33.3,670.5,auto-ancillaries-others,4
Munjal Showa,152.85,-1.2,176.45,76.0,611.32,auto-ancillaries-others,2
PPAP Automotive,210.95,-0.99,296.55,155.1,295.33,auto-ancillaries-others,2
Sintercom India,77.1,-1.09,99.45,48.0,197.01,auto-ancillaries-others,2
Commercial Eng,19.95,-5.0,30.4,7.8,178.52,auto-ancillaries-others,0
Remsons Ind,183.85,1.8,185.0,46.1,105.04,auto-ancillaries-others,3
Shriram Pistons,776.0,-0.89,913.0,484.6,1736.29,auto-ancillaries-pistons,2
Federal-Mogul,289.85,0.09,465.0,246.1,1612.5,auto-ancillaries-pistons,3
Jay BharatMarut,334.65,-3.21,349.55,133.45,724.52,auto-ancillaries-sheet-metals,1
Autoline Ind,36.85,4.99,45.7,13.05,114.1,auto-ancillaries-sheet-metals,4
Omax Autos,48.6,-0.1,59.8,21.1,103.95,auto-ancillaries-sheet-metals,2
ASL Industries,15.05,-4.44,22.1,4.75,15.68,auto-ancillaries-sheet-metals,1
Gabriel India,126.85,0.75,134.95,69.15,1822.12,auto-ancillaries-shock-absorbers,3
JBM Auto,439.45,0.94,479.8,147.4,2078.55,auto-ancillaries-spare-parts-accessories,3
Sharda Motor,398.15,-0.71,504.0,116.08,1183.76,auto-ancillaries-spare-parts-accessories,2
Rico Auto,46.7,-3.31,49.8,25.0,631.78,auto-ancillaries-spare-parts-accessories,1
Precision Camsh,59.7,-3.16,63.5,22.95,567.07,auto-ancillaries-spare-parts-accessories,1
UCAL Fuel,163.35,-5.3,176.0,92.75,361.23,auto-ancillaries-spare-parts-accessories,0
Talbros Auto,226.0,-2.46,257.0,74.55,279.01,auto-ancillaries-spare-parts-accessories,2
Auto Stampings,38.6,-0.26,48.65,13.6,61.24,auto-ancillaries-spare-parts-accessories,2
Jamna Auto,81.55,1.05,83.5,23.95,3249.47,auto-ancillaries-springs,3
Balkrishna Ind,2208.65,3.31,2209.0,1000.0,42697.0,auto-ancillaries-tyres-rubber-products,4
MRF,82181.65,-0.34,98599.95,55300.0,34854.41,auto-ancillaries-tyres-rubber-products,2
Apollo Tyres,219.0,0.02,261.25,90.5,13908.71,auto-ancillaries-tyres-rubber-products,3
Ceat,1330.15,0.62,1763.0,744.05,5380.47,auto-ancillaries-tyres-rubber-products,3
JK Tyre & Ind,126.7,0.28,146.7,50.25,3119.75,auto-ancillaries-tyres-rubber-products,3
TVS Srichakra,1978.35,-0.6,2271.0,1320.5,1514.83,auto-ancillaries-tyres-rubber-products,2
GRP,1034.5,-2.79,1150.0,566.0,137.93,auto-ancillaries-tyres-rubber-products,1
Somi Conveyor,48.4,-3.39,58.15,11.4,57.01,auto-ancillaries-tyres-rubber-products,1
Innovative Tyre,8.0,2.56,10.35,5.65,14.39,auto-ancillaries-tyres-rubber-products,4
Wheels,553.1,0.79,600.0,365.0,1331.01,auto-ancillaries-wheels,3
Steel Str Wheel,768.55,-0.16,830.0,317.3,1199.67,auto-ancillaries-wheels,2
Bajaj Auto,4150.1,0.19,4361.4,2450.0,120090.21,automobile-2-3-wheelers,3
Hero Motocorp,2929.7,1.01,3629.05,2101.0,58532.44,automobile-2-3-wheelers,3
TVS Motor,633.9,2.07,664.0,307.2,30115.77,automobile-2-3-wheelers,3
Atul Auto,185.85,-1.01,218.9,147.0,407.81,automobile-2-3-wheelers,2
M&M,811.25,0.15,952.05,415.0,100854.0,automobile-auto-truck-manufacturers,3
Tata Motors,315.25,1.09,357.0,82.6,104672.7,automobile-lcvs-hvcs,3
Eicher Motors,2625.05,2.89,3037.0,1406.5,71754.42,automobile-lcvs-hvcs,4
TML-D,149.45,0.57,157.9,34.7,43151.43,automobile-lcvs-hvcs,3
Maruti Suzuki,6911.8,0.59,8329.0,5135.4,208791.7,automobile-passenger-cars,3
Hind Motors,7.55,-0.66,10.0,3.7,157.54,automobile-passenger-cars,2
Escorts,1150.8,-1.57,1468.45,851.55,15516.76,automobile-tractors,2
HMT,27.95,0.54,39.5,10.0,3365.44,automobile-tractors,3
VST Tillers,1940.1,0.67,2049.0,885.0,1676.15,automobile-tractors,3
Ashok Leyland,126.35,1.08,138.9,42.0,37090.39,automobile-truckslcvs,3
Force Motors,1251.3,-0.31,1559.95,785.0,1648.75,automobile-truckslcvs,2
SML Isuzu,449.25,1.29,553.95,350.75,650.14,automobile-truckslcvs,3
HDFC Bank,1478.95,-2.05,1641.0,848.75,815664.66,bank-private,2
ICICI Bank,650.3,0.46,679.4,290.0,450025.83,bank-private,3
Kotak Mahindra,1750.5,-0.37,2049.0,1144.55,347017.02,bank-private,2
Axis Bank,731.55,-1.3,799.0,336.35,224185.01,bank-private,2
IndusInd Bank,993.9,-1.08,1119.5,342.0,76880.83,bank-private,2
Bandhan Bank,294.1,-1.54,430.7,201.0,47368.17,bank-private,2
IDBI Bank,38.6,-1.28,56.2,19.35,41504.27,bank-private,2
IDFC First Bank,58.95,-0.51,69.3,19.55,36547.89,bank-private,2
Yes Bank,13.6,-1.81,32.0,11.1,34074.67,bank-private,2
AU Small Financ,963.8,-1.49,1354.4,366.0,30149.86,bank-private,2
Federal Bank,86.85,0.52,92.5,37.55,17337.6,bank-private,3
City Union Bank,173.1,-1.84,200.0,115.6,12789.01,bank-private,2
RBL Bank,206.1,-1.86,274.3,108.3,12325.2,bank-private,2
Equitas Bank,60.05,0.92,68.25,30.05,6845.95,bank-private,3
CSB Bank,314.8,2.94,346.2,115.2,5461.33,bank-private,4
Ujjivan Small,29.8,-0.67,44.6,26.05,5150.38,bank-private,2
Karur Vysya,58.15,-1.86,64.55,22.8,4648.06,bank-private,2
DCB Bank,103.95,-0.14,126.5,58.0,3228.15,bank-private,2
Suryoday Small,235.95,-0.67,305.0,233.0,2504.16,bank-private,2
South Ind Bk,10.55,-1.4,11.85,4.85,2207.84,bank-private,2
Karnataka Bank,70.85,-0.77,73.8,34.2,2202.51,bank-private,2
JK Bank,29.45,-1.17,33.0,11.5,2101.11,bank-private,2
Dhanlaxmi Bank,16.6,14.09,17.9,9.1,420.0,bank-private,5
SBI,412.35,0.07,427.7,150.2,368006.36,bank-public,3
PNB,39.35,-1.13,46.35,26.3,43328.35,bank-public,2
Bank of Baroda,80.85,-0.61,99.85,36.7,41810.46,bank-public,2
IOB,16.85,-1.17,20.65,7.15,27696.33,bank-public,2
Bank of India,77.0,-2.35,101.4,31.05,25232.31,bank-public,2
Canara Bank,150.45,-2.53,174.6,77.25,24775.18,bank-public,1
Union Bank,35.0,-8.85,45.25,22.65,23921.62,bank-public,0
Bank of Mah,24.75,-1.98,27.6,8.35,16236.39,bank-public,2
Indian Bank,142.45,-1.69,157.0,43.2,16087.83,bank-public,2
UCO Bank,13.0,-0.38,16.7,10.7,12893.84,bank-public,2
Central Bank,19.15,-0.52,26.4,10.1,11251.7,bank-public,2
Punjab & Sind,21.05,-0.94,23.75,10.3,8530.87,bank-public,2
Exide Ind,190.45,-1.22,219.3,145.0,16188.25,batteries,2
Amara Raja Batt,733.6,-6.32,1025.55,592.55,12530.81,batteries,0
Eveready Ind,314.85,-0.54,335.0,65.55,2288.56,batteries,2
HBL Power,40.45,-1.7,43.9,11.2,1121.25,batteries,2
Indo-National,817.0,2.87,860.0,435.0,306.38,batteries,4
Varun Beverages,1026.35,2.16,1130.0,584.0,29629.57,beverages,3
Biocon,381.55,-0.5,487.75,342.55,45808.89,biotechnology-medical-research,2
Sun Pharma Adv,228.8,2.62,247.8,125.85,5995.65,biotechnology-medical-research,4
Firstsource Sol,136.2,-1.84,143.45,28.6,9481.29,bpoites,2
Vakrangee,47.2,-0.94,69.85,24.5,5000.39,bpoites,2
eClerx Services,1158.25,-1.23,1325.0,389.0,4041.09,bpoites,2
Hinduja Global,1822.5,0.18,1890.0,524.95,3804.88,bpoites,3
ALLSEC Tech,367.9,3.78,390.0,166.05,560.62,bpoites,4
Intrasoft Tech,85.45,4.98,101.35,44.75,125.88,bpoites,4
HOV Services,58.15,-0.09,67.9,28.1,73.2,bpoites,2
One Point One S,15.3,0.99,21.95,9.3,38.36,bpoites,3
Excel Realty,2.25,-2.17,3.65,0.8,21.16,bpoites,2
United Spirits,588.3,2.63,661.65,494.0,42748.16,breweries-distilleries,4
United Brewerie,1297.75,2.14,1329.65,897.0,34313.18,breweries-distilleries,3
Radico Khaitan,586.2,0.0,650.0,310.0,7829.77,breweries-distilleries,2
Globus Spirits,324.45,-0.87,422.25,91.0,934.39,breweries-distilleries,2
Assoc Alcohol,450.55,2.22,460.0,202.0,814.56,breweries-distilleries,3
GM Breweries,438.2,2.92,481.0,363.65,800.92,breweries-distilleries,4
Tilaknagar Ind,42.25,-2.2,45.0,15.25,588.7,breweries-distilleries,2
Som Distillerie,49.3,5.79,49.3,22.45,320.39,breweries-distilleries,5
Pioneer Distill,118.15,1.42,131.75,89.1,158.18,breweries-distilleries,3
Ravi Kumar Dist,9.6,0.0,12.2,5.7,23.04,breweries-distilleries,2
Hathway Cable,25.9,-1.33,57.3,20.55,4584.57,cable-d2h,2
Dish TV,15.4,19.84,16.25,4.25,2835.58,cable-d2h,5
Den Networks,48.85,-0.1,115.05,41.55,2331.24,cable-d2h,2
GTPL Hathway,146.4,-0.85,163.0,41.0,1646.46,cable-d2h,2
Polycab,1685.6,0.46,1698.0,629.9,25139.47,cables,3
Sterlite Techno,239.95,-0.17,249.0,92.7,9519.08,cables,2
Finolex Cables,450.55,12.91,450.55,194.05,6890.68,cables,5
KEI Industries,602.45,-1.61,638.8,272.0,5413.34,cables,2
Universal Cable,182.2,-2.85,193.4,88.2,632.15,cables,1
Precision Wires,201.1,-0.81,228.9,72.6,465.09,cables,2
Birla Cable,73.65,-2.19,82.2,36.8,220.95,cables,2
Salzer Electro,136.15,4.45,154.05,59.35,217.6,cables,4
Paramount Comm,10.95,-2.23,11.85,6.0,212.63,cables,2
Aksh Optifibre,7.2,-2.7,9.5,4.0,117.14,cables,1
V-Marc,38.65,-1.02,45.0,38.0,88.07,cables,2
Surana Telecom,5.25,2.94,7.6,2.6,71.27,cables,4
CMI,43.7,-2.02,68.4,21.35,70.04,cables,2
Cords Cable Ind,48.2,1.69,52.3,27.6,62.31,cables,3
Tamil Telecom,5.05,-1.94,9.1,1.25,23.07,cables,2
Diamond Power,0.75,-6.25,1.45,0.45,20.23,cables,0
Rain Industries,179.0,3.35,192.5,64.3,6020.59,carbon-black,4
Phillips Carbon,221.75,-2.72,240.0,71.0,3821.59,carbon-black,1
Goa Carbon,334.5,-1.79,365.0,171.15,306.1,carbon-black,2
UltraTechCement,6556.6,-0.09,7055.95,3600.0,189258.49,cement,2
Shree Cements,27041.45,0.49,32048.0,18183.55,97567.57,cement,3
Ambuja Cements,322.3,-1.2,329.9,181.65,63997.35,cement,2
ACC,1961.2,-1.17,2022.85,1180.0,36828.84,cement,2
Dalmia Bharat,1859.2,-1.03,1890.0,490.0,34788.89,cement,2
Ramco Cements,946.1,-2.78,1110.0,572.0,22317.55,cement,1
J. K. Cement,2867.9,-2.03,3149.8,1100.0,22159.76,cement,2
JK Lakshmi Cem,532.0,0.81,535.5,210.05,6260.05,cement,3
India Cements,186.45,-5.24,211.4,107.5,5778.03,cement,0
Heidelberg Cem,248.15,1.89,256.0,152.65,5623.4,cement,3
Star Cement,110.8,-1.6,114.6,70.0,4569.71,cement,2
HIL,4537.4,-0.84,4873.7,789.0,3399.67,cement,2
Orient Cement,140.65,1.33,142.8,39.3,2881.48,cement,3
Ramcoind,281.5,-5.92,305.0,108.45,2439.57,cement,0
Sagar Cement,907.85,-0.62,937.5,271.9,2133.45,cement,2
Jaiprakash Asso,8.2,5.13,9.7,1.35,2004.27,cement,5
KCP,108.15,-0.83,114.55,35.9,1394.28,cement,2
Sanghi Ind,49.9,-1.58,52.7,16.0,1252.49,cement,2
Visaka Ind,653.65,-2.68,697.15,159.0,1077.28,cement,1
Shree Digvijay,75.25,-2.21,80.65,34.3,1073.71,cement,2
NCL Industries,203.55,0.05,207.75,62.25,920.71,cement,3
Mangalam Cement,302.55,-2.47,336.0,156.8,807.62,cement,2
Anjani Cement,305.1,2.35,306.25,111.0,771.47,cement,3
Deccan Cements,493.85,-2.87,514.85,223.0,691.76,cement,1
Everest Ind,379.15,0.9,381.65,175.0,592.85,cement,3
